Id,SalePrice
1461,130638.5
1462,154013.0
1463,176792.32
1464,185350.0
1465,198100.07
1466,185273.89
1467,170799.52
1468,177181.93
1469,183563.04
1470,122298.58
1471,193642.92
1472,94723.0
1473,100511.0
1474,155535.34
1475,144166.2
1476,397355.87
1477,253033.87
1478,305529.98
1479,254232.02
1480,470700.69
1481,315679.53
1482,206975.29
1483,176488.19
1484,175678.28
1485,171664.77
1486,199806.29
1487,325538.69
1488,233605.79
1489,216975.15
1490,197355.9
1491,188437.0
1492,99109.36
1493,176691.0
1494,290144.05
1495,299111.67
1496,229250.4
1497,194163.77
1498,153075.42
1499,154443.24
1500,153363.28
1501,174231.33
1502,166282.87
1503,296522.3
1504,230428.0
1505,216941.1
1506,186400.24
1507,227533.74
1508,199913.09
1509,165499.4
1510,148138.37
1511,148602.5
1512,170576.5
1513,149654.49
1514,161259.74
1515,185878.6
1516,164185.5
1517,154366.57
1518,132044.92
1519,220182.14
1520,137816.5
1521,144565.0
1522,163143.0
1523,116403.36
1524,123073.8
1525,127196.57
1526,129068.5
1527,105059.69
1528,125690.5
1529,141975.1
1530,162599.0
1531,127466.91
1532,106580.54
1533,150985.83
1534,118692.84
1535,163387.0
1536,116294.17
1537,75327.36
1538,184913.0
1539,248048.03
1540,115602.06
1541,154773.91
1542,147007.03
1543,222745.45
1544,79436.41
1545,106669.5
1546,122402.93
1547,136642.08
1548,135813.09
1549,115492.0
1550,144480.32
1551,117191.9
1552,149223.14
1553,145187.84
1554,113630.7
1555,168366.05
1556,97325.65
1557,128814.11
1558,96270.08
1559,110106.0
1560,152439.87
1561,154223.05
1562,126953.08
1563,125671.33
1564,163853.18
1565,154449.87
1566,211433.0
1567,79268.61
1568,226914.5
1569,142949.85
1570,127429.18
1571,130435.34
1572,144479.75
1573,232953.52
1574,114358.39
1575,211338.71
1576,213134.0
1577,212422.93
1578,151458.89
1579,140856.8
1580,188685.35
1581,143587.75
1582,129573.0
1583,332781.65
1584,241772.65
1585,140962.0
1586,78522.5
1587,105522.26
1588,153643.59
1589,104743.58
1590,131425.3
1591,108445.66
1592,128475.61
1593,118251.83
1594,139103.03
1595,121965.9
1596,230864.22
1597,162804.5
1598,180867.17
1599,215477.61
1600,190113.96
1601,83355.33
1602,110325.33
1603,93570.95
1604,282651.55
1605,248774.84
1606,170389.19
1607,167653.72
1608,219839.52
1609,204982.32
1610,160431.33
1611,151603.87
1612,157932.92
1613,168576.67
1614,121408.68
1615,84418.0
1616,80659.0
1617,89413.29
1618,127197.33
1619,132410.0
1620,153251.6
1621,138519.65
1622,153795.83
1623,293148.9
1624,214643.5
1625,133412.24
1626,173312.82
1627,187427.0
1628,282982.53
1629,174605.24
1630,334063.15
1631,228737.25
1632,245534.9
1633,169535.49
1634,180958.0
1635,179198.04
1636,163254.14
1637,176378.0
1638,216676.85
1639,179230.0
1640,243685.39
1641,185345.0
1642,214231.83
1643,224376.05
1644,225241.62
1645,177603.38
1646,152802.0
1647,163342.45
1648,139063.93
1649,140456.0
1650,124867.5
1651,123830.33
1652,92944.0
1653,98324.5
1654,155868.0
1655,156107.2
1656,153177.12
1657,154659.34
1658,154480.82
1659,138335.45
1660,144902.26
1661,451475.96
1662,375867.37
1663,371570.05
1664,430451.15
1665,308917.23
1666,324872.01
1667,351798.69
1668,321006.52
1669,298259.3
1670,326999.09
1671,257694.98
1672,466677.37
1673,303392.22
1674,251482.28
1675,186195.64
1676,189694.13
1677,218695.96
1678,446092.04
1679,370905.9
1680,319998.52
1681,269873.18
1682,298762.9
1683,187932.13
1684,170823.32
1685,175040.41
1686,166730.26
1687,167055.74
1688,187606.55
1689,188493.51
1690,179452.38
1691,170148.14
1692,271800.68
1693,169675.63
1694,183869.32
1695,170559.99
1696,263862.25
1697,170058.34
1698,343644.51
1699,327210.72
1700,242365.0
1701,261574.66
1702,256086.46
1703,251044.73
1704,294309.49
1705,236900.09
1706,435480.02
1707,224230.26
1708,220420.4
1709,281494.39
1710,229057.75
1711,268632.23
1712,231665.55
1713,252877.62
1714,225732.87
1715,199141.8
1716,180051.58
1717,167137.72
1718,140543.32
1719,207430.2
1720,256665.89
1721,168056.85
1722,125238.14
1723,153347.5
1724,222202.94
1725,231490.72
1726,183661.22
1727,171453.68
1728,184013.08
1729,163977.04
1730,165950.37
1731,120853.66
1732,134902.43
1733,128123.49
1734,131094.75
1735,132447.0
1736,117590.07
1737,360589.38
1738,215845.36
1739,268809.21
1740,193135.57
1741,182615.29
1742,172863.32
1743,174816.37
1744,326529.32
1745,240630.66
1746,274805.19
1747,216865.28
1748,207116.1
1749,163121.0
1750,152438.24
1751,228715.2
1752,124793.0
1753,145670.66
1754,223813.3
1755,165508.0
1756,123903.23
1757,121704.58
1758,147245.59
1759,169511.05
1760,160962.82
1761,155258.24
1762,173261.02
1763,165074.0
1764,120279.25
1765,171615.32
1766,169261.0
1767,207064.5
1768,140752.0
1769,163865.75
1770,140715.5
1771,138729.0
1772,143785.87
1773,140779.96
1774,133983.53
1775,134619.5
1776,118115.41
1777,119241.5
1778,130614.55
1779,115417.24
1780,176143.75
1781,133982.75
1782,102991.0
1783,130583.0
1784,97271.15
1785,116748.38
1786,158739.37
1787,165939.85
1788,61262.19
1789,96090.69
1790,93749.61
1791,181397.64
1792,156942.75
1793,141208.0
1794,142523.5
1795,135438.75
1796,120286.76
1797,119221.27
1798,122801.75
1799,116602.16
1800,126240.5
1801,128806.64
1802,159667.34
1803,149660.44
1804,140268.9
1805,135540.0
1806,112965.54
1807,153185.5
1808,120448.44
1809,126449.03
1810,143658.21
1811,115621.4
1812,118587.74
1813,121075.0
1814,101497.68
1815,69556.33
1816,104821.43
1817,125338.13
1818,132033.0
1819,119323.74
1820,78854.22
1821,121127.5
1822,150720.43
1823,61836.35
1824,138416.62
1825,141303.45
1826,103684.21
1827,110938.94
1828,135970.92
1829,115232.85
1830,148237.54
1831,161995.4
1832,111164.2
1833,150948.5
1834,128961.71
1835,176038.77
1836,129589.75
1837,102587.0
1838,133977.93
1839,87990.0
1840,164442.39
1841,149580.33
1842,94785.86
1843,139821.0
1844,134979.72
1845,139419.5
1846,150628.0
1847,151600.85
1848,64634.11
1849,118121.99
1850,128657.35
1851,153203.95
1852,128594.0
1853,136100.0
1854,171980.52
1855,150577.95
1856,222192.09
1857,156866.02
1858,137592.54
1859,123087.61
1860,156287.53
1861,123126.19
1862,270378.85
1863,265547.03
1864,265547.03
1865,327981.7
1866,323820.46
1867,246862.71
1868,296607.08
1869,194178.9
1870,255253.31
1871,256174.77
1872,169539.66
1873,230230.7
1874,138325.5
1875,203019.1
1876,192911.47
1877,209997.83
1878,208398.58
1879,135270.45
1880,135946.7
1881,235570.4
1882,258806.22
1883,195453.04
1884,220036.22
1885,256089.78
1886,303992.31
1887,203465.96
1888,284802.32
1889,162534.75
1890,134352.71
1891,143006.33
1892,111837.42
